CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt,PCA_dt_medinc,PCA_dt_allinc
"Clinton, OH",0.6014391227954631,0.006309093613849384,0.0,0.41721702977626224,-0.6110840892860803,0.29267606076175356,-0.8897512163812784,0.6509642876953083,-0.10882908585327816,0.9346147001196455,0.11181635962023768,0.5891434046130202,-0.24325507030852372,-0.30502759685135455,0.36145923634400184,0.5701609063769159,-0.43778565257533036,0.5177902745223675,-0.8624692502015373,0.02007444749317332,0.0,1.0,0.0,1.0,0.0,1.0,-0.4421217943607597,-0.42745295077689965
"Clinton, PA",0.6379234322697154,-0.11906257453900151,0.0,-0.908672906434017,0.1377438185035451,-0.05146002009662907,-1.1401450218440736,0.6637536816566089,-0.12246942919473011,-0.08097486711376542,-0.014371370339138595,0.9829953997321215,0.1663673486153113,-0.214395694412565,0.30937109959244025,0.11946760342846592,0.0023955927459898404,0.21235276704949826,0.29791797856351643,0.8056920745819017,0.0,1.0,0.0,1.0,1.0,1.0,0.07857213150944845,0.14814240674137572
"Cloud, KS",-0.6533766109715354,-0.4408058010118435,0.0,-0.31861813904873415,1.0455019666239103,0.6271963576001219,-0.09738432674117481,-0.5297198926495714,0.9557063987227878,0.16026096744615737,-0.48876699063575235,0.7267333233267929,-0.3965603560912217,-0.3199315150983941,-0.7901540669229966,-0.3083792555648222,-0.172907959937437,0.49780907548583325,0.8179015356232605,-1.0272467187906675,1.0,1.0,1.0,1.0,1.0,1.0,0.10988950039016834,-0.3032666467954013
"Coahoma, MS",-0.7217137762174166,-2.793336653388563,0.0,1.6644978712549463,-0.9946385456402441,2.2111272410853253,-1.1282870146510644,1.1498505690102085,0.4781549586184029,1.9087587818782088,3.025368266219391,-2.145793006497458,2.225674438045762,1.6459903194896963,0.0076312126426276135,1.645778134584386,-2.0743331226410597,0.4252277308747451,-0.3641905599849687,-0.4752137400618248,1.0,1.0,1.0,1.0,0.0,1.0,-0.28075920229310647,-0.4735430302492376
"Coal, OK",-1.280981397513278,-0.886288576157399,0.0,0.8298434708000022,0.5325925476366037,0.7315152969860136,-0.21755023026539722,0.8122613810957343,0.5849922247522593,0.4144797316742636,-0.6052879439632078,-0.5457890167574809,0.6831778069051373,1.2870180629542507,-1.1732995547000693,2.508575341191352,-2.118892658776096,1.1448959732150612,-0.3641905599849687,0.5686855297243056,1.0,1.0,1.0,0.0,0.0,0.0,-1.5500097303856606,-1.405261576876779
"Cobb, GA",-0.4403831045648589,1.5723823928055152,1.0,0.8740099716285694,-2.004328363018483,-1.1400769252954,0.8837611733327645,-0.9048204132802997,1.2095381882757985,0.5207712236763882,1.2380614417679356,-1.1168110507978661,-0.6815943390528618,-0.7264409535406076,1.8941530092796603,-1.1210601441231978,1.2954743866272314,0.18650937719107413,-0.5540216131454562,-0.007527483323829335,0.0,0.0,0.0,1.0,1.0,1.0,0.28541852274129975,0.5139249899438977
"Cochise, AZ",1.3781137589543457,-0.3572257821997278,1.0,-0.10151958959890738,0.4136014019217794,-0.3150117233426268,1.537902237902215,0.1406895321829532,1.3131680321305774,1.2105213301645597,0.33954431391700013,-1.0506002985565164,0.30579628164909695,-0.1500896413680385,1.030227189835601,-0.5149233167586907,0.48553837442195286,-0.451468876645359,0.22227866134745705,1.6221490489225348,0.0,0.0,0.0,1.0,1.0,1.0,0.714661416485571,0.6353671655086796
"Cochran, TX",-5.199337582605575,-0.8446365679219503,0.0,1.675447466037073,-0.22517235745339262,-0.05146002009662907,1.9945713405330547,-1.7589872798615396,0.15179064151500168,0.7216875768925751,0.31134677658932636,-1.5207864340019577,1.0796899285577486,1.2589520933710379,-1.5863386728201452,0.3548222977134122,-0.12522533452078813,0.36553147697296934,1.4496822521911643,-1.6347469679133146,0.0,1.0,0.0,0.0,0.0,0.0,0.4169090079834664,0.21309655192492308
"Cocke, TN",0.06402672253786497,-1.8854542086073918,0.0,-0.6513032215725422,0.2886710706117993,1.8658520907135032,-0.577338669949761,0.9901114939510867,0.15758439101929106,1.5915248058534028,0.044339515801192865,0.6316573108450363,1.529558186142137,1.6038515202068473,0.23169469341485913,2.1420834784206906,-2.3582502259691944,-1.258069354843649,0.5749443837621493,0.12958231367213702,1.0,1.0,1.0,1.0,0.0,0.0,-1.147711135815033,-1.14933581444942
"Coconino, AZ",1.3070633676592225,0.4735840345777182,1.0,0.14085386791800283,-1.9611106897129003,-1.6299924006834738,0.9396374894686421,0.3414823305801324,0.8003210081861165,1.171578152864303,-0.15006553490512414,-1.1561480832399134,0.699108087783227,-0.8953872184741698,1.048013201344002,-1.819488058040187,1.841125431652134,-0.6687379837011168,0.06759986742741238,1.7628333681442758,0.0,0.0,0.0,1.0,1.0,1.0,1.536709067559565,1.7972036683901147
