CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt
"Macon, MO",38.0,41080.0,0.0,24.27727098,19.4398047,12.6,0.9636387,3.787390208,17.08082886,1.915961258,2.242066041,94.6614416,14.6,0.898991845,15566.0,401.9,-0.7496103155714892,0.4166666666666667,1.7272727272727273,66.0,1.0,1.0,1.0,1.0,0.0,1.0
"Macon, NC",37.0,41395.0,0.0,19.26183598,23.78692294,11.7,6.573904841,4.46193273,6.526401153,1.386998345,1.235186605,90.20399741,16.9,0.659403388,33922.0,322.8,0.17192955408740515,0.48,2.260869565217391,64.0,0.0,1.0,0.0,1.0,0.0,1.0
"Macon, TN",33.0,37865.0,1.0,25.02247393,14.08665948,14.2,4.130708378,3.459014099,3.370551219,0.801097003,0.355088098,94.21521036,18.5,0.644501733,22248.0,537.2,-2.3431335130441044,0.8,1.2222222222222223,30.0,1.0,1.0,1.0,0.0,0.0,1.0
"Macoupin, IL",42.0,50460.0,1.0,22.55835863,17.10666806,10.5,0.875117764,2.87157356,16.11736011,3.217700541,0.751596357,96.96430441,13.7,0.80455633,47765.0,371.5,0.10381760579641376,0.3793103448275862,1.434782608695652,38.0,1.0,1.0,1.0,1.0,0.0,0.0
"Madera, CA",62.0,46593.0,1.0,28.4022139,11.4420177,7.9,53.68508269,2.212580805,20.86425028,3.346494601,3.320186922,38.03400391,22.6,0.906047029,150865.0,327.3,1.2156406184119621,1.0,0.6447368421052632,1016.0,0.0,1.0,0.0,1.0,0.0,1.0
"Madison, AR",44.0,41007.0,1.0,24.18400458,15.60094166,11.8,4.829165871,3.578662388,24.26352701,3.082779705,0.171788509,91.94502768,18.8,0.463406839,15717.0,483.1,-1.204957319871394,0.6,2.5,38.0,1.0,1.0,1.0,0.0,1.0,1.0
"Madison, FL",21.0,34360.0,0.0,21.78006658,15.83957553,15.6,4.676446109,5.255453597,21.08245762,4.762484341,38.61319184,55.04577611,27.0,1.34429929,19224.0,441.5,-1.9365875701372108,0.26666666666666666,1.5,88.0,0.0,1.0,0.0,1.0,1.0,1.0
"Madison, GA",55.0,40735.0,1.0,24.44523471,13.34992888,13.3,4.050497866,3.463108135,2.895644545,0.488711673,8.250355619,85.7254623,15.1,1.101282143,28120.0,404.4,-0.96987559176919,0.375,0.46153846153846156,71.0,0.0,0.0,0.0,1.0,0.0,0.0
"Madison, IA",20.0,65294.0,1.0,27.2211238,14.80324,10.0,1.256457682,1.453290452,16.45051045,0.994680379,0.2870081,97.15543083,8.2,0.803841404,15679.0,288.9,0.9409501635465205,0.3333333333333333,1.5,38.0,0.0,1.0,0.0,1.0,1.0,1.0
"Madison, ID",34.0,38065.0,0.0,25.96973572,5.573316283,5.5,5.908994032,1.028132909,18.90599852,2.445370307,0.474211424,91.16048593,28.1,0.3470739,37536.0,403.0,1.2619545564681107,0.6,0.8260869565217391,98.0,1.0,1.0,1.0,1.0,0.0,1.0
"Madison, IL",70.0,52969.0,1.0,22.74418639,14.27054166,10.0,2.715740376,3.036495471,35.8125532,5.231288606,7.823025676,86.71764173,12.9,0.803833514,269282.0,377.9,0.19229268507676683,0.6228070175438597,0.9890710382513661,97.0,1.0,1.0,1.0,1.0,1.0,1.0
