CountySt,AGRITRSM_OPS12,AGRITRSM_RCT12,BERRY_ACRES12,BERRY_FARMS12,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,CONVS11,CSA12,DIRSALES12,DIRSALES_FARMS12,FFR11,FMRKT13,FOOD_TAX14,FSR11,GHVEG_FARMS12,GROC11,MEDHHINC15,METRO13,ORCHARD_ACRES12,ORCHARD_FARMS12,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV15,PCT_LACCESS_LOWI15,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,PC_DIRSALES12,PC_SNAPBEN12,POVRATE15,RECFAC11,SLHOUSE12,SNAPSPTH12,SODATAX_STORES14,SODATAX_VENDM14,SPECS11,SUPERC11,VEG_ACRES12,VEG_FARMS12,2010_Census_Population,HDM,Life Expectancy,PCA
"Covington, MS",2.0,,81.0,15.0,7.0,8.0,11.0,4.0,104.0,17.0,12.0,0.0,7.0,7.0,0.0,5.0,36206.0,0.0,,7.0,25.99652494,15.11140638,16.3,1.885731807,,4.414109391,,,,,34.74039248,62.35690924,5.32323284,24.32448578,22.4,1.0,1.0,0.998792948,7.0,8.0,1.0,0.0,150.0,10.0,19568.0,512.5,74.9,-2.7330667483032056
"Covington, VA",,,,,1.5,5.3,9.0,,,,10.0,1.0,1.5,9.0,,1.0,35374.0,0.0,,,21.25482302,18.72169099,10.7,1.543365207,4.872959554,1.072110772,9.80082193,20.80684103,3.802071492,2.724011849,12.4308002,83.12363697,,,18.3,0.0,0.0,1.906082135,1.5,5.3,0.0,1.0,,,,,,
"Coweta, GA",16.0,33000.0,4.0,6.0,0.0,4.0,51.0,5.0,109.0,19.0,64.0,1.0,0.0,65.0,0.0,20.0,67268.0,1.0,15.0,10.0,27.35848316,10.39923969,10.6,6.67075096,7.075807781,1.889568921,6.970662367,25.25225615,2.631038258,2.378571073,17.0786305,72.73498433,0.833575504,21.54455376,10.9,9.0,0.0,0.734494777,0.0,4.0,2.0,3.0,34.0,18.0,127317.0,385.8,77.34736842105262,-0.044934528200766495
"Cowley, KS",19.0,44000.0,0.0,0.0,6.15,6.15,15.0,0.0,188.0,35.0,14.0,2.0,6.15,24.0,0.0,4.0,47851.0,0.0,75.0,9.0,24.42785933,15.7693261,11.2,9.066123213,7.548584101,2.274177336,13.69155088,31.45237724,5.008057942,3.938502961,2.67412079,82.15692214,5.184204721,17.99030876,15.3,1.0,0.0,0.677450764,6.15,6.15,1.0,2.0,19.0,6.0,36311.0,385.6,76.38181818181819,-0.21402549905577145
"Cowlitz, WA",5.0,,629.0,27.0,0.0,6.5,50.0,4.0,824.0,124.0,56.0,4.0,0.0,64.0,5.0,14.0,50502.0,1.0,64.0,33.0,24.13924421,15.43306318,11.8,7.787325456,6.164537519,1.519985528,8.600695386,22.53556599,3.017274647,4.752719723,0.558539205,85.75822674,8.091123331,35.13725281,15.7,9.0,2.0,0.888923749,6.5,6.5,5.0,3.0,6273.0,42.0,102410.0,302.5,76.96521739130435,0.314228529697567
"Craig, OK",20.0,74000.0,0.0,0.0,4.5,4.5,11.0,5.0,295.0,41.0,5.0,1.0,4.5,10.0,0.0,2.0,41119.0,0.0,2520.0,33.0,22.70942844,17.43961674,13.1,2.46190698,4.393777613,1.623797755,7.200050162,17.28194573,3.075754249,1.56270707,2.927673165,65.55326369,20.03667731,22.88179588,18.2,0.0,1.0,0.785417232,4.5,4.5,0.0,1.0,41.0,9.0,15029.0,598.5,75.64,-2.545697396305326
"Craig, VA",8.0,89000.0,7.0,3.0,1.5,5.3,2.0,4.0,95.0,28.0,1.0,0.0,1.5,3.0,0.0,2.0,47832.0,1.0,8.0,4.0,21.40655106,17.07129094,10.7,0.693641618,2.323433397,3.928506671,4.282651397,11.23788904,2.248079531,1.391847202,0.096339114,98.32369942,18.2762601,12.66705608,11.9,0.0,0.0,0.575484366,1.5,5.3,0.0,0.0,24.0,7.0,5190.0,312.2,79.5,0.5457177463131924
"Craighead, AR",0.0,0.0,0.0,0.0,1.5,1.5,32.0,0.0,87.0,14.0,80.0,2.0,1.5,75.0,0.0,17.0,42460.0,1.0,214.0,9.0,25.03136568,12.17299337,13.1,4.434743838,4.055234342,2.562863627,8.565899244,16.5436603,1.575190915,3.114054152,13.02738405,79.59105378,0.870409092,19.73881912,17.3,9.0,1.0,0.86061396,1.5,1.5,3.0,3.0,61.0,11.0,96443.0,448.3,75.78235294117647,-1.2822327528653592
"Crane, TX",4.0,,0.0,0.0,0.0,6.25,4.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,65883.0,0.0,16.0,3.0,29.46285714,11.26857143,8.8,55.06285714,2.207349507,0.316310683,2.613303635,8.890448007,0.761369311,0.687174858,2.788571429,40.25142857,0.219106047,10.51100826,9.6,0.0,0.0,1.096010522,6.25,6.25,0.0,0.0,0.0,0.0,4375.0,463.4,76.8,-0.18537651273879696
"Craven, NC",5.0,36000.0,150.0,5.0,0.0,4.75,65.0,2.0,217.0,17.0,83.0,1.0,0.0,69.0,4.0,16.0,47805.0,1.0,0.0,0.0,23.38341143,15.27462441,10.3,6.059610647,6.165625156,3.084559267,8.143477426,28.03363479,4.13961821,2.615592996,22.09361867,67.07405439,2.060250458,18.1230278,15.0,10.0,0.0,0.737329388,4.75,4.75,4.0,2.0,52.0,15.0,103505.0,323.7,76.60526315789474,0.5628300039775076
"Crawford, AR",26.0,99000.0,87.0,22.0,1.5,1.5,25.0,6.0,154.0,48.0,30.0,1.0,1.5,38.0,2.0,8.0,46545.0,1.0,40.0,19.0,26.39310389,13.29017886,11.4,6.069606767,4.721193268,2.419978336,7.836892252,16.92447903,1.968291671,2.633405989,1.123522955,86.79860528,2.487240778,20.7993412,14.4,4.0,1.0,0.612092252,1.5,1.5,2.0,2.0,72.0,9.0,61948.0,425.4,75.52727272727272,-0.605742842992393
"Crawford, GA",4.0,,16.0,7.0,0.0,4.0,6.0,1.0,483.0,15.0,2.0,0.0,0.0,2.0,0.0,1.0,43559.0,1.0,6590.0,26.0,22.70783848,13.15914489,13.1,2.383214568,0.122487778,4.611170793,0.262284361,0.65520369,0.11662559,0.140954446,22.21694378,73.49168646,38.15467256,30.09699821,20.6,0.0,0.0,0.80026455,0.0,4.0,0.0,0.0,28.0,7.0,12630.0,395.1,75.63333333333333,-0.8347206421396188
"Crawford, IA",1.0,,0.0,0.0,0.0,6.0,13.0,2.0,49.0,12.0,6.0,2.0,0.0,12.0,1.0,6.0,51834.0,0.0,21.0,6.0,26.4155358,16.33715489,11.7,24.16354703,6.799471521,2.868299378,9.217581782,26.53520317,4.519526103,2.869242867,1.140617688,73.35634066,2.828772659,14.38357449,15.1,1.0,4.0,0.698095403,6.0,6.0,1.0,0.0,,2.0,17096.0,303.7,78.38,0.3325964960960828
"Crawford, IL",11.0,19000.0,0.0,0.0,1.0,1.0,8.0,4.0,164.0,28.0,9.0,1.0,1.0,13.0,1.0,5.0,49856.0,0.0,,1.0,20.45213705,16.83403139,10.6,1.826714437,2.104216093,2.190153163,4.366764973,14.8784036,1.254762995,1.248209814,4.657617197,91.92107786,8.355836348,16.83518791,13.4,0.0,0.0,0.735544218,6.25,6.25,1.0,0.0,,5.0,19817.0,412.4,77.0,-0.2686905835636364
"Crawford, IN",2.0,,2.0,4.0,0.0,7.0,9.0,0.0,50.0,20.0,1.0,2.0,0.0,13.0,1.0,2.0,41331.0,0.0,,2.0,23.2894614,15.00980118,13.0,1.176141137,3.113477046,4.464433938,4.661388084,14.56921955,2.764600785,2.372388666,0.196023523,96.98497153,4.695276552,18.91596413,18.7,0.0,0.0,0.804813252,7.0,7.0,0.0,0.0,10.0,5.0,10713.0,380.3,76.5,-0.681762567252159
"Crawford, KS",14.0,63000.0,5.0,6.0,6.15,6.15,22.0,0.0,82.0,29.0,18.0,1.0,6.15,38.0,0.0,6.0,38139.0,0.0,127.0,8.0,22.29519088,13.95972811,11.5,4.502478663,6.979452502,2.989453265,14.36627803,29.6284363,3.739455482,4.22501773,1.934379312,89.03255481,2.082010918,19.87468147,19.1,2.0,0.0,0.694426801,6.15,6.15,3.0,1.0,12.0,7.0,39134.0,394.1,76.60909090909091,-0.37091316779608174
"Crawford, MI",8.0,22000.0,0.0,0.0,0.0,0.0,13.0,1.0,16.0,9.0,9.0,2.0,0.0,10.0,0.0,2.0,40907.0,0.0,0.0,0.0,19.85931505,20.80432002,11.1,1.293164701,3.263314546,4.816124581,6.895440038,18.71344112,4.073908161,3.967312545,0.298422623,96.53261333,1.143347149,25.08485031,17.2,1.0,0.0,1.130225807,0.0,0.0,1.0,0.0,12.0,4.0,14074.0,386.8,78.2,-0.1956575326572562
"Crawford, MO",8.0,55000.0,,1.0,1.225,1.225,11.0,2.0,88.0,46.0,12.0,3.0,1.225,15.0,4.0,3.0,38491.0,0.0,13.0,4.0,24.2994817,16.26579203,10.4,1.477972141,1.230451834,3.360300685,2.909866512,5.173495104,0.931018553,0.963167803,0.25915128,96.38807904,3.551537654,27.42321968,19.4,1.0,1.0,0.714803479,1.225,1.225,0.0,0.0,,7.0,24696.0,547.0,75.16,-1.3440054221565103
"Crawford, OH",4.0,,,2.0,0.0,0.0,19.0,2.0,129.0,34.0,31.0,2.0,0.0,22.0,1.0,7.0,41471.0,0.0,7.0,4.0,23.14315732,17.80559108,13.3,1.217339667,5.512216441,3.346957639,9.936751381,23.1265575,4.268655354,4.986008771,0.856477252,96.44390645,3.012118523,23.03754234,16.5,6.0,0.0,0.678740072,5.75,5.75,3.0,1.0,40.0,9.0,43784.0,380.0,76.1,-0.7646256763235498
"Crawford, PA",20.0,44000.0,24.0,39.0,0.0,0.0,26.0,9.0,968.0,161.0,47.0,3.0,0.0,71.0,5.0,24.0,45989.0,0.0,116.0,37.0,22.4311384,16.57410015,11.7,0.927167239,2.590180255,4.975501182,3.769588933,11.8597208,2.143608514,1.567300748,1.693234946,95.67960345,11.04165716,21.92112732,15.3,7.0,2.0,0.807666842,6.0,6.0,8.0,2.0,421.0,63.0,88765.0,365.0,77.71363636363637,-0.18305185705218588
